Lead ID,First Name,Last Name,Email,Job Title,Industry,Company Name,Company Size,Lead Source,Lead Status,Last Activity Date,AI Interaction Score,Social Media Profile URL
bd68a166-9f78-4316-86d6-7a8da5a7ffee,Penny,Price,jamesryan@gmail.com,Land/geomatics surveyor,Tech,Cook Inc,100,LinkedIn,Converted,2025-04-27,16,https://www.potts.com/
387acaa4-b70f-4efd-b40b-d96822746249,Allison,Mcguire,amy02@gmail.com,"Therapist, horticultural",Retail,Carpenter-Olson,250,LinkedIn,Disqualified,2025-06-29,9,https://www.johnson-reid.com/
8d7c3d86-5f8c-48b5-a720-d52328ba7b2f,Caitlin,Turner,mooresharon@yahoo.com,Research scientist (medical),Healthcare,"Graham, Russell and Owens",50,Website,In Progress,2025-05-07,64,http://jones.org/
5f4eeb0f-fd39-496d-bd9a-665d83f972d4,Nichole,Lynch,jennifer95@gmail.com,Cartographer,Marketing,Rich-Jones,5000,Referral,Contacted,2025-04-17,43,https://www.smith-costa.com/
c7bf3b89-b618-45dc-b87a-c8cb01ecaa74,Justin,Martinez,tracy31@gonzales-scott.com,"Education officer, community",Marketing,Scott Group,100,Social Media,New,2025-07-10,85,https://www.grimes.com/
48c841cc-5ca1-4589-8a88-a2dbb02b0462,Laura,Fox,wardlauren@gmail.com,Local government officer,Retail,Castro-Martin,1000,Cold Outreach,New,2025-06-22,70,https://thompson.biz/
f7ab3ba1-a711-4706-b263-ee36fc363360,Benjamin,Chambers,wendy31@taylor.org,"Optician, dispensing",Healthcare,Hernandez Ltd,250,Social Media,Contacted,2025-02-13,34,http://harrington-nelson.com/
9721df6f-2af3-4fb5-9919-42e089a1ffd1,Michael,Pratt,robert59@gmail.com,Automotive engineer,Tech,"Bell, Davis and Morales",500,Referral,Contacted,2025-07-05,69,https://www.austin-arias.info/
05bec809-6fc5-42d2-97b4-cf1b06142c3b,Mitchell,Norris,morgankristin@hotmail.com,"Scientist, research (life sciences)",Retail,"Hernandez, Patel and Vazquez",5000,Referral,In Progress,2025-05-17,93,https://www.price-barber.org/
19436169-c7cb-4838-9808-7a46ca16d6b7,Michelle,Mcpherson,smithdonald@fitzgerald.org,Technical author,Healthcare,Sexton-Murray,500,Website,Converted,2025-02-18,34,http://oliver.biz/
61fab1ae-ec4b-416c-983f-260f10026813,Holly,Massey,jasonwhite@hotmail.com,"Loss adjuster, chartered",Tech,Gordon PLC,100,Social Media,Contacted,2025-06-24,94,http://cook.org/
2fbf249a-1257-47ec-b056-1c5368202b9d,Susan,Gomez,lmarks@yahoo.com,Further education lecturer,Marketing,Roberts-Aguilar,500,Referral,In Progress,2025-05-27,30,https://www.williams-bauer.com/
cf772e2b-9e82-4c81-8c61-a103b0b1a219,James,Woodard,owenssabrina@yahoo.com,Immunologist,Marketing,Huff PLC,5000,Website,New,2025-02-07,12,https://carey-newman.com/
0202c7b1-768a-4bd5-9bb3-e563d5926a33,Angela,Herman,sellersroy@gmail.com,"Therapist, sports",Marketing,Robbins-Smith,500,Social Media,Converted,2025-04-15,91,http://adkins-schaefer.net/
3f465697-113b-4468-8d80-543369131996,Gloria,English,cory05@walker-rogers.net,"Research officer, government",Healthcare,Marks LLC,100,Website,In Progress,2025-05-14,16,https://johnson-fitzpatrick.com/
ba62ebf3-c871-4355-b10a-ff6e985af7eb,Russell,Sanders,melissabrewer@yahoo.com,"Engineer, broadcasting (operations)",Tech,Wright-Perkins,50,Referral,Contacted,2025-07-06,53,https://www.tucker-cunningham.net/
5a6a4c53-9f60-4c43-ac2c-c65a1df77f0f,Angel,Savage,thompsonjohn@gmail.com,Art therapist,Marketing,"Hammond, Harris and Brown",5000,Cold Outreach,Disqualified,2025-04-09,37,https://www.reynolds.com/
fe954205-5f5c-419c-80d7-f36292a51a34,Jonathan,Jackson,hunter64@hotmail.com,Private music teacher,Marketing,Washington Inc,500,Website,New,2025-06-15,81,https://taylor.com/
917d944f-3094-42db-ad9c-578c58cc2b5a,Amanda,Campbell,whenderson@gmail.com,"Doctor, general practice",Healthcare,"Hall, Thomas and Bullock",50,Website,Contacted,2025-06-18,61,https://www.davis.com/
ea9f7063-c1e3-49d5-800a-fc44a2aa2e3a,John,Stone,michaelthomas@yahoo.com,Brewing technologist,Tech,Hunter-Johnson,5000,Referral,New,2025-04-29,6,http://www.baker.biz/
bb48d2ff-97f1-4a8d-8ff3-43fcc64c306e,James,Harrell,andrewholloway@hotmail.com,"Scientist, research (physical sciences)",Healthcare,Morales-Barber,5000,Cold Outreach,Converted,2025-01-08,57,https://www.dalton-garcia.com/
000d9c06-7ba5-46b9-a5ee-46648245e040,Troy,Potts,john79@hotmail.com,Town planner,Healthcare,Pena Ltd,100,Social Media,Disqualified,2025-02-06,83,https://www.smith.info/
c5027246-43cb-421a-8a80-f278144d7155,Mary,Rogers,tjuarez@yahoo.com,Exhibition designer,Tech,Morris LLC,500,Social Media,Converted,2025-05-28,36,http://barrett-barnes.biz/
de828d0e-e9f2-4899-ab6b-486775359f62,Kristi,Winters,angelagibbs@yahoo.com,Medical illustrator,Marketing,"Cunningham, Ware and Harvey",5000,Website,Converted,2025-05-10,60,http://clayton.info/
e7c610a5-2383-4540-b466-8b145bb89d6a,Julia,Davis,umorse@jackson.com,"Designer, fashion/clothing",Finance,Curry PLC,250,Social Media,In Progress,2025-06-25,44,http://www.smith.com/
cebb385e-b7a8-4791-a54f-ffb18872c510,Daniel,Obrien,lopezjohn@gmail.com,"Surveyor, mining",Tech,Clark-Hood,100,LinkedIn,Converted,2025-06-15,20,https://chambers.biz/
3a87e378-b0f8-4aa9-911d-023a852ff33f,Danielle,Tran,pfischer@gmail.com,Waste management officer,Healthcare,"White, Cobb and Nicholson",1000,Referral,Contacted,2025-06-22,47,https://king.com/
d5baf10c-cf65-43d9-b1b1-f79761094884,Paul,Parker,daniel51@hotmail.com,Lobbyist,Finance,"Tate, Butler and Alvarez",100,LinkedIn,In Progress,2025-02-19,46,https://hinton-garcia.net/
640e493a-c250-4b02-8d19-30428637649c,Nathaniel,Greene,lindasullivan@yahoo.com,Air broker,Tech,"Wilson, Frost and Dudley",1000,Social Media,Converted,2025-02-26,51,https://www.prince.biz/
04128c71-5333-4be2-80ae-80c40c8423e4,Sara,Hayes,akeith@hotmail.com,Psychiatrist,Marketing,Phillips Ltd,500,Website,Contacted,2025-04-24,73,http://www.foley-monroe.com/
7ea46537-c001-46ed-ada2-d0fdef1eeba2,Bryan,Douglas,emartinez@parker.com,Site engineer,Retail,"Finley, Patel and Mendez",500,Social Media,Disqualified,2025-04-06,55,http://www.scott-rogers.com/
63796ea6-08b4-42e5-b268-c18502a77893,Sandra,Lambert,brian58@rogers.com,Television camera operator,Retail,Osborne-Porter,50,LinkedIn,Contacted,2025-02-18,69,http://thompson.biz/
3b804715-1be5-41e4-a6a5-be6429676a6f,Eric,Powell,edwardsandre@walters.com,Clinical psychologist,Healthcare,"Gonzalez, Cox and Hogan",5000,Website,Disqualified,2025-01-09,35,https://tate.com/
6626cc36-0031-4ecf-af2a-f85a4adba1ae,James,Hanson,traci71@gmail.com,Research scientist (life sciences),Finance,"Wagner, Turner and Moore",100,Website,In Progress,2025-03-21,66,https://harper-wilson.com/
40fa8646-d4f0-4989-b12f-c4969da8b95d,Connie,Abbott,davisjohn@gmail.com,"Psychologist, prison and probation services",Marketing,Terry-Carney,100,Social Media,Contacted,2025-01-08,69,https://www.allen.com/
ccd1862a-59cc-4aab-ad05-c7970f9b8f34,Toni,Adkins,moranandrea@turner.net,Aeronautical engineer,Marketing,Kim-Villegas,5000,LinkedIn,Converted,2025-06-04,83,https://www.rocha.com/
33017971-54bc-4350-a66b-67b4dff71d63,Melissa,Martinez,james94@cook.org,Charity fundraiser,Healthcare,Perez LLC,250,Cold Outreach,New,2025-02-28,40,https://garcia.com/
